split_id,row_index,llm_score_Mistral_Small_24B_Instruct_2501_a,llm_score_Mistral_Small_24B_Instruct_2501_b,label
development/dev_track_a,1,0.1,0.3,False
development/dev_track_a,2,0.2,0.45,True
development/dev_track_a,3,0.1,0.45,False
development/dev_track_a,4,0.2,0.4,False
development/dev_track_a,5,0.2,0.65,False
development/dev_track_a,6,0.1,0.3,False
development/dev_track_a,7,0.2,0.65,False
development/dev_track_a,8,0.1,0.4,False
development/dev_track_a,9,0.2,0.5,True
development/dev_track_a,10,0.2,0.5,True
development/dev_track_a,11,0.55,0.2,True
development/dev_track_a,12,0.1,0.3,True
development/dev_track_a,13,0.2,0.45,True
development/dev_track_a,14,0.45,0.2,True
development/dev_track_a,15,0.1,0.3,False
development/dev_track_a,16,0.1,0.3,True
development/dev_track_a,17,0.1,0.5,True
development/dev_track_a,18,0.15,0.45,False
development/dev_track_a,19,0.1,0.4,True
development/dev_track_a,20,0.2,0.6,True
development/dev_track_a,21,0.2,0.5,True
development/dev_track_a,22,0.55,0.2,True
development/dev_track_a,23,0.2,0.6,False
development/dev_track_a,24,0.65,0.3,True
development/dev_track_a,25,0.1,0.4,True
development/dev_track_a,26,0.45,0.2,True
development/dev_track_a,27,0.2,0.65,False
development/dev_track_a,28,0.1,0.3,True
development/dev_track_a,29,0.1,0.6,True
development/dev_track_a,30,0.45,0.2,True
development/dev_track_a,31,0.1,0.45,False
development/dev_track_a,32,0.2,0.6,False
development/dev_track_a,33,0.1,0.65,False
development/dev_track_a,34,0.75,0.3,True
development/dev_track_a,35,0.65,0.2,True
development/dev_track_a,36,0.1,0.3,True
development/dev_track_a,37,0.1,0.5,False
development/dev_track_a,38,0.65,0.3,False
development/dev_track_a,39,0.2,0.65,False
development/dev_track_a,40,0.2,0.65,True
development/dev_track_a,41,0.1,0.4,True
development/dev_track_a,42,0.2,0.45,True
development/dev_track_a,43,0.2,0.6,True
development/dev_track_a,44,0.65,0.2,False
development/dev_track_a,45,0.1,0.3,False
development/dev_track_a,46,0.1,0.3,False
development/dev_track_a,47,0.2,0.5,False
development/dev_track_a,48,0.1,0.3,False
development/dev_track_a,49,0.1,0.4,True
development/dev_track_a,50,0.5,0.2,True
development/dev_track_a,51,0.1,0.3,False
development/dev_track_a,52,0.2,0.6,True
development/dev_track_a,53,0.2,0.65,False
development/dev_track_a,54,0.2,0.65,False
development/dev_track_a,55,0.1,0.3,False
development/dev_track_a,56,0.2,0.6,False
development/dev_track_a,57,0.65,0.3,True
development/dev_track_a,58,0.7,0.3,True
development/dev_track_a,59,0.1,0.4,True
development/dev_track_a,60,0.3,0.7,False
development/dev_track_a,61,0.1,0.3,False
development/dev_track_a,62,0.2,0.5,False
development/dev_track_a,63,0.65,0.3,True
development/dev_track_a,64,0.2,0.6,True
development/dev_track_a,65,0.2,0.5,True
development/dev_track_a,66,0.45,0.2,False
development/dev_track_a,67,0.1,0.3,False
development/dev_track_a,68,0.1,0.4,False
development/dev_track_a,69,0.2,0.4,False
development/dev_track_a,70,0.2,0.7,True
development/dev_track_a,71,0.15,0.4,False
development/dev_track_a,72,0.45,0.2,True
development/dev_track_a,73,0.15,0.5,False
